index	coefficient	p_value	random_intercept_variance	residual_variance	log_likelihood	aic	bic	bse	q_value
GATD3	0.19415046308648715	0.11289241008831624	0.2852260374932841	0.28805846121862677	-366.88598557694104			0.12246725955797372	0.18971591309243108
A0A0J9YWP8	-0.1882145123768883	0.31769433798990254	0.503350900245006	0.5324494069124073	-379.6659326572802			0.18836385083919713	0.43177661392694794
UBA6	-0.3662760204837119	0.05532126914477171	0.08886115266162395	0.5921163688304981	-425.067144630078			0.1911326663792029	0.1038989531618636
SHTN1	0.5648026076802737	0.001953828458147634	0.06823405609601663	0.5459485875247182	-423.3027108950398			0.18236131865741712	0.00532334169895936
ILVBL	-0.7206947327080847	9.562436176885433e-07	0.1489903838145482	0.391541203386529	-394.5718309375329			0.1470674813596203	4.301860822728047e-06
ANKRD18B	-0.0027939418975521115	0.983761685343426	0.22903614038451278	0.35028453474516524	-396.017893543597			0.13727343324453528	0.9903316457875928
FUOM	-0.3189650992561723	0.031050453130902364	0.1225016915899393	0.3836144298560799	-388.58102201739666			0.14791380233504978	0.0628591150010477
VWA8	-0.03592281059061726	0.7151731131346556	0.3400956601706554	0.17169206999513023	-251.30323741120264			0.09844095373905776	0.7941052812894841
USP17L3	0.7001506481672619	3.0811580979220413e-06	0.43040236260413933	0.3838552749029508	-391.59543466032346			0.1500751316135804	1.3062265455686417e-05
ASPDH	0.025037366081500246	0.8461392490485765	0.2113563114974647	0.31789446677235605	-388.02489273475044			0.12902747191137423	0.893346532803864
PALM3	0.36633636734972075	0.030675226349603322	0.14393538692800684	0.4935736394075883	-428.8567174995562			0.1695012591857733	0.062171791705074954
TTC36	-0.418575943789318	0.0065787962258760605	0.07548132062114642	0.46235864432925683	-453.0197190569686			0.15403286761896	0.015930019790334104
A8MZ25	1.575708410221725	3.2066323569207264e-29	0.15693490723759834	0.3411740021124778	-370.34741388089446			0.14042168167972638	7.97535276199855e-28
EIF3CL	0.23906081512387992	0.1404882862485209	0.08704546818573974	0.5140101403109206	-483.34410501524076			0.16218782090718442	0.22966207169828626
HNRNPCL4	-0.13013976224934193	0.45381944220221293	0.09755163922675239	0.47578780919533875	-383.62929773576593			0.17373681800607604	0.5700574667200957
NACA	0.11948866632732372	0.4684893636458233	0.06447392774753002	0.5206513541369239	-481.1213284278349			0.16482578829444505	0.5830744623399168
TK2	-0.30451671450659373	0.06448417365135363	0.10439378706068282	0.46558056651485286	-406.6908997725734			0.16470891215470929	0.11842504886815049
PDLIM1	-0.41393320815946155	0.0037268485055878455	0.07568055369382744	0.39334189887080195	-424.5596327614894			0.1427158261490994	0.009527816810908134
MYO1C	-0.36133868439054173	0.02665306455672257	0.06690623906814325	0.4919705487274449	-439.27731875594645			0.16301766011457172	0.05537349092273747
FXYD1	0.49748243093391975	0.0009950247005999775	0.12605384505597847	0.34218148674335297	-316.30391696866855			0.15112182567228566	0.0028398983667943622
AIP	0.0928537007107623	0.6277286498033913	0.09734762542808102	0.5706966980200197	-402.9009563907962			0.19148003980365128	0.7216491409150545
NDUFS8	0.8674576627938355	2.9790647805214377e-08	0.11610664900952342	0.435704341703781	-411.4912764934213			0.15650558564591033	1.5622143924360912e-07
PSMD11	-0.5370628420966053	0.0008257369298201941	0.07191751641669338	0.49732847133688035	-469.9695833045571			0.16060394160249183	0.00239601332469493
PSMD12	-0.16596964730195016	0.3879851457746961	0.062103018909567084	0.5954891443482885	-400.7180668675767			0.19225536295345821	0.5078813073637187
PSMD9	-0.04988073002827495	0.7770202080736579	0.043355656140873285	0.5617405728755215	-468.74157878402775			0.17612982733195315	0.8423454154411018
PGRMC1	-0.9088814393027289	4.137969696110778e-14	0.2429737841362171	0.27601089386281263	-360.1916338609949			0.12027678121054979	3.958354527982893e-13
CLIC1	-0.08340239279094723	0.6406585491162045	0.0763244617481556	0.4918200330015143	-380.3011031953537			0.17867669590516608	0.7323614799811634
EIF3F	0.31403834477541975	0.0389866157652257	0.07898692016185584	0.45012622704588495	-451.8861561022734			0.15212617626650332	0.0766091400081918
IPO5	-0.12553257322601663	0.47152674421091134	0.11584862075253509	0.5733389620307948	-486.96691883935455			0.17435148388880028	0.5855407001934355
DNM1L	0.0401793855996004	0.8137213478167341	0.11006153206279407	0.5107057166088073	-442.6034297150386			0.17052042362381337	0.8686013896682613
BTN3A1	0.012462493685998211	0.9411323812708654	0.23061685518203762	0.5374986259209008	-489.3171738077888			0.16876172756819044	0.9593158523375742
NDUFA4	1.2403432557218885	2.5994376641699943e-49	0.2969805742743645	0.1351477883857965	-210.78651221135465			0.08402629308393635	1.7406234512769075e-47
PSMD14	-0.24075693114439975	0.10918846301855199	0.10541850903759813	0.4311648377299587	-437.4367307714806			0.15029916251531003	0.1842026299566851
NOP56	-0.09467488372238204	0.6077913429602642	0.05179112707461627	0.5625779136827684	-407.94965151237716			0.1844691874655396	0.7040350818987491
DDX3X	0.4100548415999407	0.007482630681809035	0.14375204140978107	0.4440153749477935	-447.3134286775096			0.1533164710156866	0.017894587935480124
CES2	-0.724206583363904	1.5589522688913965e-09	0.38271175453747425	0.2801914678347579	-368.6031048640193			0.11993857277281075	9.391473702906302e-09
FBP2	1.132861269310655	1.8106014012265289e-25	0.27572476189865214	0.22293426794543816	-312.88625912956763			0.10861659341734473	3.7979000476329966e-24
ACACB	1.0445532881243031	7.25124083869399e-20	0.2008721965966095	0.24752729368339005	-334.72999964803057			0.11448621885284421	1.0698652796751047e-18
PDXK	-1.3402212827764297	1.695709645420053e-19	0.1388105363825278	0.43229637488679445	-450.7543223173245			0.1483966051388051	2.4398599113027373e-18
COPE	0.4682319758784835	0.0017864853404017588	0.1399708940953031	0.4213487408682323	-422.36538990970666			0.1499010235641194	0.004882685993154572
EIF1AY	-0.024549123589989973	0.8914023541758989	0.02491389722291979	0.5559535138079436	-416.6774433367316			0.1798076146882566	0.9237687491787143
CCS	-0.5724012006232833	0.0001971540314557177	0.10451698056253678	0.4547260479519355	-455.5580220064446			0.15376235425267928	0.0006309653837580965
EI24	-0.47734288524278295	0.0005968015882632711	0.11933934842797797	0.35612503050240485	-391.7457425270261			0.13904282279100114	0.0017730914081337114
ACOT8	-0.181668222811282	0.3055417480314123	0.05256068947944172	0.563739844305601	-470.31594158951793			0.1773027379923894	0.4205123978835485
PDCD5	-0.46182338236205805	0.007358727813383953	0.18937714717592927	0.52081480616499	-441.6644982489138			0.1723119582308216	0.01762248297538028
NHERF1	-0.3077763244443148	0.011803106035019975	0.5791238050785167	0.29133983715434447	-377.81719576227306			0.12223159153046287	0.026687282606454255
HSD17B6	0.19478141356792844	0.05829172011968587	0.3872304031329857	0.20597615709645056	-303.8586453270382			0.10286857938154942	0.10889043425791105
PSMA7	-0.8812401163671161	1.3078189293042016e-12	0.12354117950451533	0.2923234201491875	-357.3960115123232			0.1242324291700669	1.074015450905007e-11
PHYH	-1.1064943985486975	1.5504578163279084e-15	1.305270843157848	0.3740773519924545	-431.6463335468002			0.1387826476177506	1.7303506783505697e-14
OPLAH	-0.2704969927931895	0.037040679841802426	0.24023479404905515	0.3225188005560937	-388.3832879732347			0.12971514617742871	0.07319843768964589
BCKDK	0.27097277492428024	0.09159993984592109	0.06306086988024388	0.41344979989352226	-372.3543517387045			0.16062236196083535	0.16011595910818135
MGST3	0.4983879371540903	0.0002732445409543687	0.33577555129399944	0.3507836130725665	-397.7648711481452			0.13694129005638428	0.0008571508933361368
UQCRQ	0.7338276035824289	9.721733949879923e-08	0.24645460176108638	0.3358225976247337	-374.4885994220583			0.1376309596266945	4.85171427566329e-07
MYL12B	0.5150693028997831	0.0003164106570518904	0.1498278733541179	0.39123858606356515	-429.31063695916214			0.14301600727651576	0.0009784564012919026
SLC27A2	-1.193626166291116	2.0024637022200672e-22	0.6747895937837216	0.28587961939332696	-370.7632269854314			0.1225279439663473	3.4179306917305266e-21
HNRNPDL	-0.4247317661029123	0.012432126112915089	0.07983354113623645	0.5288483104853857	-450.85079663374927			0.1699175027018371	0.02792816975817441
XPO1	0.03172379870195579	0.8568030420003638	0.07875030042099741	0.5309333454717029	-423.5388223436514			0.17580845565697098	0.8969898353112649
SPTBN2	0.6270781237839486	4.175983335679784e-05	0.09931985156933684	0.4180152529699243	-410.7512004879113			0.15303841692788592	0.00014807305473357442
SEC16A	0.5394517382456501	0.005008756753289032	0.09556960466137593	0.5862689884837488	-430.7071868061796			0.1922171722976739	0.012431304969293686
SYNM	-0.12678165405595215	0.46238148034308535	0.2709467320668307	0.5370975761877831	-477.7171805075891			0.17250822663468077	0.5774793093811418
ARPC2	0.18355046116801524	0.2977495917357925	0.02483780467847259	0.5774913054468038	-480.09101384179166			0.17627532612367305	0.41338280638916647
ARPC3	0.2552697446467513	0.09469838294031087	0.10315780047634918	0.4328221303625448	-434.00391812258067			0.15275387650339248	0.164213032568806
PGRMC2	-0.8821472890005417	1.1954581914956519e-09	0.36164760716097055	0.4100757828133527	-450.45960251118026			0.14506969279338272	7.2518909804666544e-09
KMO	1.2642734786551015	6.606899122849215e-27	0.35128077676107466	0.2547376796388358	-335.9142417091077			0.11771671571163711	1.474693765753908e-25
SLC22A1	0.018657838848712156	0.8897664485380802	0.22796196599202945	0.32813032049976737	-376.6055969700135			0.1346166941434923	0.9226226247199508
ACOX3	-0.0633902053334912	0.7288213025077859	0.2313112791314618	0.46186945963814785	-337.0230538844961			0.18284200427132416	0.8071742287952005
PMM2	-0.1866612088620726	0.3029897864552562	0.080616579445429	0.5475384151876611	-425.8369597069659			0.18121689644497962	0.4181043374958995
GPR37	-0.09488943911369373	0.5354548636532684	0.1739459172099143	0.3936508541470571	-376.23150489419027			0.1531214039080752	0.6407278730149463
EIF3D	0.4001118444131553	0.028498125651247347	0.05961112316914677	0.576899485730482	-460.37513688112995			0.1826694296186396	0.058646851960782065
EIF3H	0.23505371486932813	0.16929578893873687	0.045418693285281204	0.5227882579664431	-451.40332349575874			0.17101406293374213	0.2669782323753088
ARPC5	0.008280233447165318	0.959377003809465	0.04881009325075616	0.5050155008848176	-465.73437298509884			0.16256345957187787	0.9739214948293169
DHX15	-0.23592099476670203	0.1961310793672405	0.03541172192437441	0.5272404795275258	-389.64831142685			0.18250913728390963	0.2990054371089017
CYB5B	-0.47256724808435496	0.0008651030544721699	0.23668624912491287	0.3757714406394835	-413.2391371182623			0.14186615383998033	0.0024859547844618608
PHGDH	-1.223405899984004	5.667085881480018e-25	0.34778120824148817	0.269902352205131	-358.5413462171605			0.11853638801758896	1.1472554092624083e-23
PSMD3	-0.44868035249036176	0.0017297084822356535	0.11895604701192694	0.3935116609167567	-423.3642739968261			0.14320654846034228	0.004742397586727989
HNRNPR	-0.04042545045903024	0.7977953412016082	0.056575714874738746	0.4692757300339703	-456.68478968010936			0.15778779205368462	0.8572588768060256
TXNL1	0.23210763990342853	0.2112168992606538	0.18181238185481324	0.5447825368655569	-403.3777478319049			0.1856525043260912	0.3170074324248261
TPD52L2	-0.13177457873381876	0.42981961619843556	0.04772627482110614	0.41494471190659366	-342.6443071113936			0.16690882548258495	0.545817616193637
HTRA2	-0.15291050364086095	0.3405940392247052	0.1499930777427341	0.4653118003730352	-439.1780805261517			0.16045305392927944	0.4547348330446409
AKR7A2	-0.3897576626571827	0.004778233595747864	0.1923716273423496	0.3706407196924322	-422.3363104242708			0.13813277444849742	0.011946825823453862
TIMM44	0.26102194469715984	0.13034038032589937	0.1199048813202713	0.5219897729578405	-451.6188665631196			0.17254671814413206	0.21488882779108978
CHMP2A	0.35570120764001706	0.03353497950483429	0.10508818388879021	0.44302036905272557	-370.7742968235318			0.1673400425771221	0.06726313285474252
NDUFB3	1.0632562399739778	1.526689493818076e-15	0.21482401225725448	0.32958815669911184	-376.15140654020774			0.13332756705288645	1.714817037895013e-14
NDUFA2	0.6027867489506493	0.00011843962348813383	0.17632829467312594	0.3872256819443321	-364.5378133016243			0.15659509298327853	0.0003942703336383193
GET3	-0.5959274633472479	0.00023040142445254508	0.034889134357081304	0.5015091822282066	-459.5313926986844			0.1617998655123446	0.000731987007247958
SULT1B1	-0.42070989328217134	0.008662012752670293	0.10591677373775427	0.4569846372282617	-425.2509718982351			0.16026351561161037	0.020379140814052676
ACTN4	-0.5190100032550972	0.00016746662065423093	0.15177244317552024	0.3647560829913595	-415.67961740507894			0.13790155189145037	0.0005470157346323003
GSTZ1	-0.663086462309883	9.562899212295117e-09	0.5133093842847035	0.2368344054297489	-309.9494441265281			0.11555441977428509	5.302231697008216e-08
AP1G1	0.12605290249338674	0.46048093455582717	0.1379818342991334	0.44417549976019755	-364.5064260082428			0.17079062716805993	0.5755185262467302
SYNGR2	-0.06151789183132829	0.7429725346647945	0.09880376905168138	0.544783902160835	-389.6156538979643			0.18760059448857871	0.8171289847450456
SLC25A20	0.6087404115935372	1.595337665619739e-06	0.19343673788809107	0.30615112414898465	-369.51371479762633			0.12684980121235556	7.013845646070621e-06
NARS1	0.3338743509862327	0.07426463318135502	0.08522925461983186	0.6410076846739837	-499.23096002627676			0.18704659671838353	0.13379519670812157
MYO1B	-1.0175905747153675	2.7547467270602006e-16	0.24760392152706834	0.2991408486480819	-376.3245900139889			0.12434501677914445	3.3075958978012477e-15
NUDT21	-0.2637653311697207	0.1502547075369229	0.05266985360354495	0.5491181184667916	-410.72010047141316			0.18334449792981952	0.24154519466461938
LANCL1	0.2755625094499162	0.09407125014903046	0.017917683669982698	0.5232856223856283	-455.7571453588223			0.16458350991227888	0.16361443207738466
SLC37A4	1.2626203410861045	8.214893371783042e-24	0.24680982105688762	0.3005016174813903	-375.57067472375			0.1254963472626212	1.60698082699711e-22
CALU	-0.22568140480370244	0.09527190961265947	0.23864712652773984	0.33196186684732376	-373.8821886908554			0.1352826970550048	0.16487911991614326
TIMM8A	0.2004995432982761	0.2195358096811283	0.08143015226540884	0.5162547281317879	-480.5735220088661			0.16330471169128166	0.3272361683688736
PRPSAP2	-0.32152513669397587	0.04697805064765432	0.15843009219664603	0.4579703019136397	-407.0672448433447			0.16185525019270863	0.08997666246156895
SPAG9	-0.3862396388118959	0.0746561722766173	0.14923563310601612	0.7740738379330755	-490.9016573322581			0.2166756049340824	0.1341345675269254
URB1	0.1272152629007987	0.4342643706574314	0.2976177971392588	0.5182706915049886	-487.83105957017847			0.16269699272079047	0.5486605727972338
OPA1	-0.06652118463931708	0.7052982050789769	0.05622905494652292	0.5142209566561297	-405.0882713804983			0.17589903746359703	0.788141319025994
PPL	-0.355848713938853	0.02341159034135648	0.13723297011277627	0.4370857991813292	-417.1822966708321			0.1569932060059985	0.049405550041577734
PLXNC1	0.7439566379729363	3.2180376760472965e-05	0.1376022174464039	0.5105551836174874	-414.01603782979214			0.1789449339876523	0.00011770175617643578
SORBS3	-0.5282149935520499	0.005150228846693566	0.04491064544922033	0.5645533620363287	-423.9167958986625			0.18881786582972182	0.012736574463200992
SYNCRIP	0.06958871034735165	0.6287469834536012	0.10119561146529578	0.3981625811277737	-426.8034883363041			0.14392962199050582	0.7220636531614246
GMDS	0.12072418478357894	0.4971448341377416	0.3101348544213069	0.5657013620069264	-475.085994152839			0.17779991347823182	0.6090986321138692
DIAPH1	0.42171421160089717	0.004836688608359862	0.12499528088493146	0.4093248404661171	-418.90024034442854			0.14966537638962873	0.012064004107671233
UGT1A9	-1.055852657929367	3.370106064601216e-16	0.1865788192632065	0.3115502134859132	-380.4783048314389			0.12940502992183656	4.018736067445697e-15
UGDH	-0.4407121748112014	1.0366357112598102e-06	1.2639743634789735	0.1544731916068432	-244.85876029242831			0.09022568554052131	4.6515019930498184e-06
CTNND1	0.1906431561549589	0.25140537603509383	0.10851015134955712	0.5167210467255097	-472.37218424449065			0.1662185786130437	0.36383770546724714
SNX2	-0.13082618557710063	0.46717164733751493	0.053767401092756385	0.5134534996828484	-384.72962752815965			0.17993154540763176	0.5822089033748128
DPM1	-0.3071462408967832	0.10136778409907403	0.11889954039076174	0.5786877917174369	-421.30706651728565			0.18748338179214066	0.17291555400979108
USO1	0.3620917392944582	0.023611065919612817	0.07320607753545737	0.507454476640791	-483.00994090825316			0.15997693711154737	0.04976618131482557
H2BC12	-0.09355434777152985	0.5689995792565297	0.11624729441151806	0.5025417006491344	-462.7488916430507			0.1642671835984317	0.6697959888340894
EIF5B	0.3985577622621214	0.07451455036051872	0.15896225357887497	0.7806517377110068	-449.39410985211657			0.2234768466176798	0.13401842167113956
DIAPH2	-0.11955079646520277	0.580948033983526	0.0699288746869462	0.7181859361793383	-415.3321790892909			0.21657734698435646	0.6814606122837908
CUTA	-0.5879658965500887	7.618936596820878e-06	0.32819386731261635	0.3221417161130683	-376.1339340672671			0.13137078285059436	3.08478339885236e-05
ABCB7	0.5932455634312181	0.0006027037260771006	0.06504320641864547	0.5165814527192782	-436.4531155961806			0.17293798694621637	0.0017875761279390666
WDR1	0.2793080053947622	0.07545428342680263	0.14269048974180287	0.4729384436693597	-467.6058002416639			0.15711824208327183	0.13501121011928405
CPNE3	-0.13007599806642028	0.4306722602654175	0.10714524452410722	0.5079392160151927	-465.54290455244814			0.16506230914194228	0.5461037182243932
CLUH	0.15982845887511032	0.2946375825960843	0.06381047704404787	0.45557320993128014	-456.3858609780973			0.15250774792220637	0.40971567995190317
CNOT3	-1.0834679187808496	9.21799364309585e-15	2.9215824478143517	0.27750325665560455	-292.4157288229778			0.13980946532283237	9.667787308813179e-14
XYLB	-0.06465747201830133	0.5339627360339189	0.2158882511859266	0.20173738365737667	-283.69604981397106			0.10395622369669527	0.6406017567054569
COQ9	0.5768112293520187	1.1485931678433353e-05	0.18094204323263316	0.3228972879344392	-383.37054576895366			0.13147821441997756	4.534468719308949e-05
GGCT	-0.2734177701415319	0.2726728829558577	0.4667651797468032	0.957113442847562	-482.9597748444519			0.24925772602328203	0.3865826459496321
NDUFS2	0.9814059737335538	5.590579218468808e-09	0.1323299237388537	0.517992792527721	-464.02440362010884			0.1683786418385312	3.1704229379003894e-08
TBCA	-0.7032735141637398	3.7428031969706347e-06	0.26274259687521345	0.4426594054266929	-456.46428527410535			0.1520533495846643	1.5551838582161994e-05
ATP6V1G1	-0.3364705207175993	0.052522083846474596	0.030271939385652185	0.4700602066962152	-365.4434532536352			0.1735431061872705	0.09960887579162557
VPS4B	0.14815365364034808	0.4221951727962244	0.04785317716131211	0.5782227714059934	-452.8453576451559			0.1845878482983523	0.5396782641984044
MPDU1	-0.5216319064912418	9.526630190809738e-05	0.20585827642859686	0.322812240121346	-364.77982441962286			0.13367148888816016	0.0003233111727524319
ENTPD5	-0.24542298763725176	0.019067678782380987	0.39338748050226774	0.21313993667741113	-311.81538871633006			0.10469347567236369	0.04093320438979692
MACROH2A1	0.018299573046060575	0.9172178870537585	0.15153323763892848	0.5321734322895153	-438.73700120646686			0.17606097671692855	0.9424552016427293
FLNB	-0.1285167877586095	0.23330742481524103	0.27474416940354024	0.21879291819949775	-307.6435790250305			0.10782674996920884	0.3445192761690709
CS	-1.8401019317508593	5.142479363932004e-51	0.11722215838950267	0.2916136128004635	-367.2188412026976			0.12248063488769963	4.263360272669342e-49
SEC22B	-0.31515824807366405	0.032687314077607485	0.08328649257610037	0.4201298664269185	-436.8403598896962			0.1475526910582179	0.06579030498163542
VPS26A	-0.11724404264815014	0.548964673816984	0.018658308235781733	0.6274901706959625	-431.34101776519606			0.1956309764916298	0.651358530267186
PMPCB	-0.15417187980391772	0.37996013014902374	0.08965405093410887	0.5738306692438846	-484.5649357906823			0.17560044434463562	0.49887676213382376
