index	coefficient	p_value	random_intercept_variance	residual_variance	log_likelihood	aic	bic	bse	q_value
A0A075B6H7	-0.1312262084551171	0.7792306675949423	0.7229888451201746	0.8840575880434068	-140.60482400333362			0.4681271068594141	0.9037358431335282
A0A0A0MRZ8	0.3902095218744246	0.5373120808104797	1.5142056358194447	1.5126922977508575	-149.072759256966			0.6325505722661456	0.7713840955540049
GATD3	0.36419071222418686	0.1770807640775649	0.08463548733280453	0.33640872894269686	-105.95964605597385			0.2698112556889404	0.42608539945977836
A0A0J9YWP8	-0.4328366587395031	0.17711388338589362	0.1884771468136672	0.42328784631194255	-106.66749121645509			0.32069223435529753	0.42608539945977836
SHTN1	-0.37832763131335373	0.21700382966726195	0.21509097953080758	0.37569632590066904	-104.79470152591253			0.30645369278053847	0.478944232188295
ILVBL	-0.5770192057225593	0.023846954444422586	0.12056932804224789	0.28687480866541265	-88.62058850641358			0.2553650066793912	0.12394528174199887
ANKRD18B	0.03733311571347641	0.90848759590757	0.0138390386095843	0.45306066600653366	-115.5074975537508			0.324787128595527	0.9560032513704214
FUOM	0.45337504807159273	0.2799331299938016	0.04000015149639031	0.6881461292621596	-116.31954121751352			0.41960927015923033	0.5492992439247976
VWA8	-0.17281170927810938	0.4946455589724249	0.17905750364738804	0.2848038638585181	-94.48888891278983			0.25304130738674896	0.7458582034383744
USP17L3	-0.14669287727905636	0.6085251975286712	0.7460675614498836	0.3626398298313223	-108.54994887655539			0.2864089619184681	0.8126537927345617
ASPDH	0.10653175666546708	0.7063707857594015	0.30918951059393635	0.36437305885489224	-112.1889294914015			0.28277661072730287	0.8672668777131896
PALM3	0.13032437411033984	0.6601517505901462	0.28481002021823265	0.34408590317625715	-87.07390962842271			0.29639137816918004	0.8430443763183191
TTC36	-0.48860543371181453	0.0703696635674032	0.11915181545374508	0.2905506013513103	-80.97565746892607			0.2700187913122551	0.2521330073351213
EIF3CL	-0.15307081742184372	0.6136956394246527	0.12162250225243036	0.4159764134089714	-115.26202157621714			0.3032274770025352	0.8143883046416106
HNRNPCL4	0.24375228192176185	0.44901800493018273	0.09591269101936689	0.3889454729410177	-91.94344028704901			0.32197511298605097	0.7126732519344275
NACA	0.5516688655885825	0.09151695017543067	0.04968114195071919	0.4981684111341904	-126.126134674193			0.3269246644423042	0.2906867916682046
AGPS	-0.3429751562850698	0.36292568616958365	0.8309735161917406	0.5246524103599025	-105.83483965514552			0.3769768152124455	0.629028441407704
TK2	-0.09431438678856416	0.7688516488355718	0.15615179909442045	0.43128940160823565	-105.32138654016953			0.32093115114146814	0.8982357319618114
PDLIM1	0.18234217334921723	0.5765067169086588	0.10083033414552596	0.4659174236908493	-121.14739346422436			0.3264887176770697	0.7938162806820781
MYO1C	-0.8530861928697484	0.014868377468316495	5.3237595982048e-09	0.5412742705282346	-122.07721145909886			0.35026151923964916	0.09273462095053696
FXYD1	0.5303421811309482	0.08804428630330215	0.10870436029724224	0.3527344947110953	-89.57221410408297			0.310904238685211	0.28567741451784356
AP3B1	0.2572486748692505	0.42943722861059663	0.048299360290203146	0.3758052749023138	-86.71374719694276			0.3255673398758746	0.6887355171240427
NDUFS8	0.7063508328376106	0.059539030579079236	0.17804669177251942	0.4849523341957016	-103.52066122149719			0.37488265096122353	0.22430364092879068
PSMD11	-0.014201404085867831	0.9647670765836827	0.07865089784340397	0.469636492521239	-122.34134877074126			0.3215003522890652	0.9805386298287416
PSMD9	-0.3552464177849016	0.3632965200199453	0.008805184450786992	0.6285237062350124	-125.73913660053063			0.3907664819842009	0.629028441407704
PGRMC1	-0.6863662045480068	0.03918598780663349	0.06616808969715743	0.5173866748997946	-131.86468007889317			0.3328274286489561	0.17130937655166523
CLIC1	-0.21355603242847124	0.5432544590038719	0.0013091323477209637	0.5254555150020238	-118.36747390182265			0.35130182873679305	0.7736282536773271
EIF3F	0.5552856137977294	0.11632854664960116	0.00904097228103865	0.5650843468388159	-131.78142806688572			0.3536012766003186	0.3318126923562793
IPO5	-0.2148360359335881	0.5333719933183976	0.17468554857184218	0.4970938233837781	-118.83710069881946			0.34491483998864264	0.7676034388519587
DNM1L	-0.15080850325410486	0.6844507679109418	1.2100729100642753e-10	0.5627906748225124	-119.57744111862144			0.3710864612700443	0.8550557070934911
BTN3A1	-0.4315030962797517	0.1374743270187999	0.08501531938825145	0.37612910816552764	-108.38654482179373			0.29052313938036667	0.367471058253427
NDUFA4	0.8364498811485475	0.00027056483646810284	0.27040750605725117	0.24532285255982675	-87.82635650077384			0.22966993773179073	0.00429840740200269
PSMD14	-0.07015623706144694	0.8206065287128521	2.2303731310104153e-09	0.4442287801404117	-117.63650809524643			0.3093786790926427	0.9184047978652935
NOP56	-0.19662859965425183	0.637147333940734	0.05013278563437322	0.6615622743859568	-116.00392280788228			0.4168588826908121	0.8317489227567411
DDX3X	0.30106063555610535	0.3204656321730558	0.049291802373561115	0.42759516683131105	-119.67998339009483			0.3030298829213255	0.5862382971225737
CES2	-0.4380275002505656	0.09932934168996962	0.28892625734385735	0.3185605084597062	-104.62750082573609			0.2657750496773914	0.3058934202867025
FBP2	0.7749052074360259	0.005829685641467076	0.15344098441042123	0.3685215502515624	-113.71759960219197			0.2810468339689318	0.04566135172200258
ACACB	0.006355388079197074	0.9806429444982093	0.2753977124733306	0.3025935320195371	-98.34671232840088			0.261939040529622	0.988863903314362
PDXK	-0.31121341062559443	0.26595095438363936	0.15017000640068537	0.35908740140705697	-109.44218675312925			0.2797586149371809	0.5331683418833912
COPE	0.226030731216966	0.49825734553905443	0.01602177938055404	0.49582832905808816	-122.64451549696003			0.3337556156527006	0.7475042842056925
CCS	-0.7454789481641898	0.0383978266986227	0.004548511996097227	0.5786315265730159	-130.5490906864307			0.36003343960182865	0.16979984940791865
EI24	-0.020501528639548516	0.9334386827934253	0.2837102505690021	0.2165370121165024	-65.46672818042379			0.24547073999922642	0.9658010857123931
ACOT8	-0.17940553177220495	0.6542096125082777	0.3295882113204916	0.6278101731868574	-121.95909239651928			0.40052866253283365	0.8403424770891988
PDCD5	-0.36367207988414857	0.19581041744376615	0.14990532468061724	0.3172868135329539	-87.85994179624527			0.2811360601697767	0.4549810570428262
NHERF1	-0.4471330610434887	0.1161136923687759	0.13171938875896586	0.3707228006132095	-111.9598127741927			0.2845630577693201	0.3318126923562793
HSD17B6	0.23238037912832102	0.2668878214624445	0.811909675215413	0.2044246513590451	-81.52607306202094			0.20930302460587716	0.5339414454259921
PSMA7	-1.04419525119311	0.004557860679324472	0.02495018129769699	0.5852323644575692	-127.38915194471144			0.3680986424520427	0.038961611086205133
PHYH	-0.5780153169011466	0.017623571605749105	0.420984220543502	0.26493853424589814	-94.15467911916187			0.2435355126958745	0.10169864106190121
OPLAH	-0.29716757487833895	0.41036245066509813	0.36767026343886394	0.5994176600596987	-137.75266062294662			0.36096619811903086	0.6728825383836663
MGST3	-0.47144594555031144	0.058132221782226975	0.16212461344992157	0.2849061904816587	-97.60901278692597			0.24882359515342803	0.2217961660348106
UQCRQ	0.07419439193694106	0.8104436872005171	0.3494879323346034	0.36359557097637385	-94.42265384478608			0.3093318832209304	0.9159554843480261
MYL12B	-0.1052038142279629	0.741439143753224	0.0144268682667557	0.4707900753340757	-122.90881453041095			0.31884953938878946	0.8895094398654384
SLC27A2	-0.568113960156319	0.03184066494889821	0.28123004452198297	0.32636439157569314	-105.06887843886466			0.26468159906411914	0.14894355492762384
HNRNPDL	0.5186251161024887	0.15041647573165715	0.121803745842881	0.5662338561887547	-125.05756290872992			0.3606417051969338	0.3854950976256367
XPO1	0.13826566770330354	0.6976179525957966	0.07966549520289537	0.5066843963686716	-106.73995167540906			0.3558613943968435	0.8621013884493215
SPTBN2	-0.24127533420214542	0.5579864055636637	0.04418331154498368	0.6891644712474276	-125.23177726747312			0.4118486211510265	0.7797917900159417
SEC16A	-0.4194328952072965	0.1648377630101826	0.19458473726957765	0.37338347623038226	-97.73615399375805			0.30197111107497365	0.4070187579313013
SYNM	-0.889670986962154	0.017374498287982012	0.5089942802870248	0.6053749968865078	-131.62244653378562			0.3740179324178685	0.10113184305344189
ARPC1B	-0.08212288496619652	0.7904479129418907	0.1531160773592403	0.42182745009492495	-113.30714668375262			0.30904748520336506	0.9086393471328199
